Id,Job Title,Skill
1,Android Developer (Kotlin/Java),python|c++|kotlin|java|ai|unity|
2,iOS Developer (Objective C / C++),python|c++|ai|ios|unity|system|
3,C++ Developer (OOP/Linux),c++|ai|oop|algorithm|data structure|ios|linux|test|
4,Android Engineer (Java/Kotlin/Flutter),english|kotlin|java|rest|ai|flutter|test|system|
5,Javascript BE Developer for ServiceNow,english|java|javascript|rest|soap|webservice|.net|system|agile|scrum|
6,"05 .Net Developers (ASP.NET, Agile)",english|asp|.net|.net core|ci/cd|docker|azure|git|agile|scrum|
7,"IAM Engineers (JAVA, IAM)",english|java|javascript|html|iis|tomcat|weblogic|ibm|rest|soap|ml|ai|j2ee|angular|apache|cloud|azure|test|aws|sql server|mysql|oracle|access|ssl|tls|
8,Mid/Senior Web Frontend Engineer,ai|cloud|aws|agile|
9,"Senior PHP Developer (Laravel, OOP)",english|php|rest|ci/cd|erp|laravel|oop|cloud|git|test|unit test|aws|system|
10,"[VR Project] 3D Unity Games (C#,OOP) ~4K",english|c#|game|oop|unity|git|
11,ReactJS Devs (1-Month Signing Bonus),english|java|css|.net|react|cloud|azure|aws|sql server|
12,Manual QA/QC Engineer (Web - HCM/Hybrid),english|html|rest|ml|hybrid|xml|json|test|qa|qc|agile|scrum|
13,"IT Helpdesk (System admin, Networking)",system|
14,Senior S/W Engineer (C/C++/C#/Python),python|c#|c++|
15,Frontend Developer,typescript|english|java|javascript|html|css|jquery|ml|ai|angular|vue|react|typescript|
16,UI/UX Designer,ai|designer|
17,"Unity Developer (Games, Agile)",c++|java|node|game|unity|system|nosql|agile|scrum|
18,Junior/Senior Data Engineer - BONUS,english|c#|java|javascript|rest|ai|cloud|azure|aws|agile|scrum|
19,[HAN] Golang Developer - Up to $2500,golang|ci/cd|cloud|docker|
20,[HN] FrontEnd Dev (ReactJS) - Upto $1700,java|javascript|html|css|rest|ml|vue|react|node|
21,"Lead Software Developer (Java, Oracle)",java|rest|ai|spring|erp|linux|oracle|agile|
22,Mobile Dev (Android/React Native/iOS),english|ai|react|ios|test|
23,Full-stack engineer (Nodejs),typescript|java|javascript|html|css|rest|ml|ai|express|react|node|typescript|apache|cloud|linux|docker|kubernetes|mysql|firebase|postgresql|redis|
